INSTRUMENT_ID,INSTRUMENT_TYPE,TRADE_CODE,
5771,Ordinary share,CBOM,
5163,Bond,RU000A0JU898,
5896,Bond,RU000A0JUQQ5,
5897,Bond,RU000A0JUQR3,
5898,Bond,,
5899,Bond,,
5900,Bond,,
5901,Bond,,
10558,Subfederal bond,RU000A0ZYCD1,
10694,Municipal bond,RU000A0ZYJ00,
9589,Municipal bond,RU000A0JWWQ9,
3762,Ordinary share,ALRS,
4492,Bond,,
4493,Bond,,
4494,Bond,,
4495,Bond,,
10824,Bond,RU000A0ZYR18,
3999,Corporate bond,RU000A0JRJC6,
4475,Corporate bond,RU000A0JT593,
10560,Bond,RU000A0ZYCJ8,
10819,Bond,RU000A0ZYQX9,
2537,Corporate bond,RU000A0JQAL8,
2538,Corporate bond,RU000A0JQAM6,
2931,Corporate bond,RU000A0JQXG0,
2929,Corporate bond,RU000A0JR5F7,
3399,Corporate bond,RU000A0JRDY3,
2930,Corporate bond,RU000A0JR6S8,
4138,Corporate bond,RU000A0JS488,
4622,Corporate bond,RU000A0JTDX1,
5000,Corporate bond,RU000A0JTW83,
6101,Corporate bond,RU000A0JV4R9,
10945,Bond,RU000A0ZZ1N0,
11047,Bond,RU000A0ZZ7C0,
3516,Corporate bond,RU000A0JRJB8,
3517,Corporate bond,RU000A0JRJL7,
4140,Corporate bond,RU000A0JS4J1,
4141,Corporate bond,RU000A0JS4K9,
4142,Corporate bond,RU000A0JS4L7,
10601,Bond,RU000A0ZYDA5,
9495,Bond,,
9496,Bond,,
9499,Bond,RU000A0JWVL2,
9500,Bond,RU000A0ZZBV2,
10841,Bond,RU000A0ZYTZ8,
2670,Corporate bond,RU000A0JQK64,
2671,Corporate bond,RU000A0JQK72,
3558,Corporate bond,RU000A0JRLE8,
3735,Corporate bond,RU000A0JRVN8,
4197,Corporate bond,RU000A0JS6N8,
4199,Corporate bond,RU000A0JT874,
4994,Corporate bond,RU000A0JTVJ2,
5309,Corporate bond,RU000A0JU1Q8,
5310,Corporate bond,RU000A0JUAD7,
11279,Share Exchange Funds,SBMX,
9934,Bond,RU000A0JXQ85,
3104,Bond,RU000A0JWM31,
5531,Corporate bond,RU000A0JU9K4,
6229,Corporate bond,RU000A0JV0T3,
9272,Bond,RU000A0JWJF9,
10490,Bond,RU000A0ZZ2W9,
3184,Unit closed UIF,RU000A0JR3X5,
9420,Bond,RU000A0JWLG3,
10531,Bond,RU000A0ZYA66,
99,Ordinary share,VTBR,
10695,Bond,RU000A0ZYKF9,
10696,Bond,RU000A0ZYKG7,
11013,Bond,,
11259,Bond,RU000A0ZZH84,
11315,Bond,,
11383,Bond,,
11487,Bond,,
5325,Bond,RU000A0JUQE1,
9858,Bond,,
9859,Bond,,
9860,Bond,,
9861,Bond,,
5329,Bond,RU000A0JV3Q3,
9862,Bond,,
9876,Bond,,
9877,Bond,,
9878,Bond,,
9879,Bond,,
9880,Bond,,
9663,Bond,,
9881,Bond,,
9664,Bond,,
9882,Bond,,
9665,Bond,,
9883,Bond,,
9666,Bond,,
9884,Bond,,
9667,Bond,,
9885,Bond,,
9668,Bond,,
9669,Bond,,
5342,Bond,RU000A0JU773,
9670,Bond,,
9671,Bond,,
9672,Bond,,
11368,Bond,RU000A0ZZUY6,
11369,Bond,RU000A0ZZV78,
11370,Bond,RU000A0ZZVB2,
11371,Bond,RU000A0ZZVC0,
11372,Bond,RU000A0ZZVN7,
11373,Bond,,
11374,Bond,,
11375,Bond,,
11376,Bond,,
11377,Bond,,
11378,Bond,,
11379,Bond,,
11380,Bond,,
11381,Bond,,
11382,Bond,,
11007,Shares of a foreign exchange-traded investment fund,RUSB,
11006,Shares of a foreign exchange-traded investment fund,RUSE,
10541,Subfederal bond,RU000A0ZYB40,
3166,Corporate bond,RU000A0JR3H8,
3167,Corporate bond,RU000A0JR3G0,
3392,Corporate bond,RU000A0JRCX7,
3701,Corporate bond,RU000A0JRTN2,
4479,Corporate bond,RU000A0JT403,
4489,Corporate bond,RU000A0JT6B2,
4154,Corporate bond,RU000A0JS4Z7,
5571,Corporate bond,RU000A0JUBA1,
9303,Bond,RU000A0JW6P7,
9373,Bond,RU000A0JWG96,
9488,Bond,RU000A0JWNE4,
5100,Bond,RU000A0JUD83,
9502,Bond,RU000A0JWNJ3,
5101,Bond,RU000A0JVQA7,
9783,Bond,RU000A0JX4Q9,
9994,Bond,RU000A0JXRP9,
10364,Bond,RU000A0JXU48,
10397,Bond,RU000A0JXU71,
10728,Bond,RU000A0ZYLH3,
11282,Bond,,
11283,Bond,,
11284,Bond,,
11285,Bond,,
11286,Bond,,
11287,Bond,,
11404,Bond,RU000A0ZZSM5,
10730,Bond,RU000A0ZYLJ9,
11401,Bond,RU000A0ZZSQ6,
11400,Bond,RU000A0ZZSR4,
11399,Bond,RU000A0ZZST0,
11398,Bond,RU000A0ZZSS2,
11397,Bond,RU000A0ZZSU8,
11441,Bond,,
11481,Bond,,
11482,Bond,,
11483,Bond,,
11484,Bond,,
11485,Bond,,
11486,Bond,,
11048,Bond,,
5617,Subfederal bond,RU000A0JUCZ6,
9197,Subfederal bond,RU000A0JW1K9,
10742,Subfederal bond,RU000A0ZYMJ7,
10603,Subfederal bond,RU000A0ZYD55,
10740,Subfederal bond,RU000A0ZYM47,
5976,Subfederal bond,RU000A0JUQF8,
9392,Subfederal bond,RU000A0JWHN7,
10048,Subfederal bond,RU000A0JXS83,
11256,Subfederal bond,RU000A0ZZEM5,
11457,Bond,RU000A0ZZRR6,
4063,Bonds of a foreign issuer,RU000A0JR050,
4139,Bonds of a foreign issuer,RU000A0JR043,
5299,Bonds of a foreign issuer,RU000A0JS8X3,
5416,Bonds of a foreign issuer,RU000A0JS8Y1,
5417,Bonds of a foreign issuer,RU000A0JS8Z8,
5431,Bonds of a foreign issuer,RU000A0JS900,
5876,Bonds of a foreign issuer,RU000A0JS918,
9249,Bonds of a foreign issuer,RU000A0JS926,
10685,Bonds of a foreign issuer,RU000A0JS934,
11192,Bond,RU000A0ZZDB0,
5931,Corporate bond,RU000A0JUNU4,
4305,Corporate bond,RU000A0JS9X1,
6111,Bond,RU000A0JWC74,
6112,Bond,,
6113,Bond,,
6114,Bond,,
6115,Bond,RU000A0JVFJ1,
6116,Bond,,
9358,Bond,,
9357,Bond,,
9356,Bond,,
9355,Bond,,
9354,Bond,,
9353,Bond,,
10815,Depositary receipts of a foreign issuer for shares,FIVE,
5081,Depositary receipts of a foreign issuer for shares,QIWI,
8572,Subfederal bond,RU000A0JV2J0,
10703,Subfederal bond,RU000A0ZYHX8,
10715,Subfederal bond,RU000A0ZYKJ1,
5923,Shares of a foreign issuer,YNDX,
5763,Depositary receipts of a foreign issuer for shares,LNTA,
8920,Subfederal bond,RU000A0JVK00,
5347,Subfederal bond,RU000A0JU2H5,
5992,Subfederal bond,RU000A0JUQP7,
9440,Subfederal bond,RU000A0JWM56,
10052,Subfederal bond,RU000A0JXT41,
11105,Subfederal bond,RU000A0ZZ9P8,
11458,Subfederal bond,RU000A0ZZSW4,
9156,Subfederal bond,RU000A0JVZE0,
10485,Subfederal bond,RU000A0JXYS9,
11075,Subfederal bond,RU000A0ZZ8X4,
8993,Subfederal bond,RU000A0JVS10,
9067,Subfederal bond,RU000A0JVWM0,
9616,Subfederal bond,RU000A0JWXF0,
10564,Subfederal bond,RU000A0ZYCM2,
10621,Subfederal bond,RU000A0ZYFB8,
11150,Subfederal bond,RU000A0ZZC48,
11328,Subfederal bond,RU000A0ZZM87,
5359,Subfederal bond,RU000A0JU3B6,
8976,Subfederal bond,RU000A0JVPR3,
10607,Subfederal bond,RU000A0ZYDQ1,
9422,Subfederal bond,RU000A0JWLD0,
11477,Subfederal bond,RU000A0ZZUT6,
6164,Subfederal bond,RU000A0JUX89,
9612,Subfederal bond,RU000A0JWX87,
5950,Subfederal bond,RU000A0JUPE3,
8941,Subfederal bond,RU000A0JVM81,
10716,Subfederal bond,RU000A0ZYKH5,
5927,Subfederal bond,RU000A0JUN81,
8929,Subfederal bond,RU000A0JVKF9,
9683,Subfederal bond,RU000A0JWZM1,
10401,Subfederal bond,RU000A0JXUD9,
10498,Subfederal bond,RU000A0JY031,
5977,Subfederal bond,RU000A0JUQH4,
8883,Subfederal bond,RU000A0JVEH8,
9386,Subfederal bond,RU000A0JWGT6,
9976,Subfederal bond,RU000A0JXR43,
11061,Subfederal bond,RU000A0ZZ7E6,
11384,Subfederal bond,RU000A0ZZNJ2,
4104,Eurobonds,XS0504954347,
4229,Eurobonds,XS0767472458,
4230,Eurobonds,XS0767473852,
5178,Eurobonds,XS0971721377,
5403,Eurobonds,XS0971721450,
5397,Eurobonds,XS0971721963,
9402,Eurobonds,RU000A0JWHA4,
10426,Eurobonds,RU000A0JXTS9,
10425,Eurobonds,RU000A0JXU14,
10929,Eurobonds,RU000A0ZYYN4,
5402,Eurobonds,XS0971722342,
9699,Federal loan bond,SU24019RMFS0,
10597,Federal loan bond,SU25083RMFS5,
4087,Federal loan bond,SU26205RMFS3,
4134,Federal loan bond,SU26207RMFS9,
4143,Federal loan bond,SU26208RMFS7,
4389,Federal loan bond,SU26209RMFS5,
4654,Federal loan bond,SU26210RMFS3,
4791,Federal loan bond,SU26211RMFS1,
4793,Federal loan bond,SU26212RMFS9,
5179,Federal loan bond,SU26214RMFS5,
5374,Federal loan bond,SU26215RMFS2,
5547,Federal loan bond,SU26216RMFS0,
9070,Federal loan bond,SU26217RMFS8,
8657,Federal loan bond,SU26218RMFS6,
9438,Federal loan bond,SU26219RMFS4,
9805,Federal loan bond,SU26220RMFS2,
9817,Federal loan bond,SU26221RMFS0,
9950,Federal loan bond,SU26222RMFS8,
10848,Federal loan bond,SU26223RMFS6,
10853,Federal loan bond,SU26224RMFS4,
10855,Federal loan bond,SU26225RMFS1,
8651,Federal loan bond,SU29006RMFS2,
8652,Federal loan bond,SU29007RMFS0,
8648,Federal loan bond,SU29008RMFS8,
8649,Federal loan bond,SU29009RMFS6,
8650,Federal loan bond,SU29010RMFS4,
8655,Federal loan bond,SU29011RMFS2,
9700,Federal loan bond,SU29012RMFS0,
4090,Federal loan bond,SU46005RMFS3,
4092,Federal loan bond,SU46011RMFS1,
4093,Federal loan bond,SU46012RMFS9,
4096,Federal loan bond,SU46018RMFS6,
4097,Federal loan bond,SU46019RMFS4,
4098,Federal loan bond,SU46020RMFS2,
4100,Federal loan bond,SU46022RMFS8,
4101,Federal loan bond,SU46023RMFS6,
8942,Federal loan bond,SU52001RMFS3,
10919,Federal loan bond,SU52002RMFS1,
9937,Federal loan bond,SU53001RMFS2,
10534,Federal loan bond,SU53002RMFS0,
10912,Federal loan bond,SU53003RMFS8,
1269,Eurobonds,XS0088543193,
1242,Eurobonds,US78307AAE38,
1271,Eurobonds,XS0114288789,
1245,Eurobonds,US78307ACZ49,
9634,Subfederal bond,RU000A0JWZ77,
10610,Subfederal bond,RU000A0ZYDU3,
11431,Subfederal bond,RU000A0ZZQH9,
5528,Subfederal bond,RU000A0JU9G2,
9630,Subfederal bond,RU000A0JWY29,
9054,Subfederal bond,RU000A0JVUW3,
11433,Subfederal bond,RU000A0ZZQQ0,
5995,Subfederal bond,RU000A0JUR46,
9555,Subfederal bond,RU000A0JWUV3,
10544,Subfederal bond,RU000A0ZYBD3,
11394,Subfederal bond,RU000A0ZZPB4,
10744,Subfederal bond,RU000A0ZYML3,
9692,Subfederal bond,RU000A0JX0B9,
9768,Corporate bond,RU000A0JX3M0,
9991,Corporate bond,RU000A0JXRM6,
10024,Corporate bond,RU000A0JXS26,
10707,Corporate bond,RU000A0ZYJT2,
10738,Corporate bond,RU000A0ZYLX0,
10753,Corporate bond,RU000A0ZYL89,
11388,Corporate bond,RU000A0ZZNW5,
11274,Corporate bond,RU000A0ZZCH9,
11489,Corporate bond,RU000A0ZZV86,
9563,Bond,RU000A0JWUD1,
9995,Bond,RU000A0JXRS3,
10921,Bond,RU000A0ZZ083,
4975,Bond,RU000A0JVUX1,
4976,Bond,RU000A0JW9G0,
4977,Bond,RU000A0JWG05,
4978,Bond,RU000A0JWPL4,
9708,Corporate bond,RU000A0JX0L8,
8570,Corporate bond,RU000A0JV2C5,
9561,Corporate bond,RU000A0JWU80,
9252,Corporate bond,RU000A0JW316,
9175,Corporate bond,RU000A0JVZJ9,
9337,Corporate bond,RU000A0JWGW0,
9565,Corporate bond,RU000A0JWVB3,
9908,Corporate bond,RU000A0JXP29,
10693,Corporate bond,RU000A0ZYHU4,
9867,Corporate bond,RU000A0JXN62,
10690,Corporate bond,RU000A0ZYH51,
11439,Corporate bond,RU000A0ZZR58,
4926,Corporate bond,RU000A0JTR72,
4927,Corporate bond,RU000A0JTR80,
4915,Corporate bond,RU000A0JTQB9,
9986,Bond,RU000A0JXRX3,
5267,Bond,RU000A0JVP05,
5270,Bond,RU000A0JVRN8,
8900,Corporate bond,RU000A0JVF98,
8937,Corporate bond,RU000A0JVLA8,
9558,Corporate bond,RU000A0JWU31,
9559,Corporate bond,RU000A0JWU23,
10542,Corporate bond,RU000A0ZYBA9,
10679,Corporate bond,,
10680,Corporate bond,,
739,Unit closed UIF,RU000A0JNUN9,
150,Ordinary share,BSPB,
5201,Shares of a foreign issuer,POLY,
8933,Subfederal bond,RU000A0JVL33,
9396,Subfederal bond,RU000A0JWKB6,
5313,Subfederal bond,RU000A0JU286,
5974,Subfederal bond,RU000A0JUQB7,
10053,Subfederal bond,RU000A0JXTW1,
779,Subfederal bond,RU000A0JNYN1,
5234,Subfederal bond,RU000A0JTZK1,
5409,Subfederal bond,RU000A0JU674,
6147,Subfederal bond,RU000A0JUWT7,
